iter	RMSE
250	0.3665180984
251	0.3643708719
252	0.3637312177
253	0.3615804122
254	0.3608426788
255	0.3599515446
256	0.3580705781
257	0.3569434342
258	0.3562577469
259	0.3554366594
260	0.3540636662
261	0.3528209738
262	0.3516361231
263	0.3510040925
264	0.3499089179
265	0.3492884051
266	0.3482116775
267	0.3471405194
268	0.3461401045
269	0.3456566842
270	0.3447145622
271	0.3441818688
272	0.3436749495
273	0.3419589674
274	0.3403294902
275	0.3390364781
276	0.3380955935
277	0.3361483777
278	0.3349462633
279	0.3340476727
280	0.332721664
281	0.3312327611
282	0.3307086881
283	0.3298535553
284	0.3293526992
285	0.3280996762
286	0.3276983253
287	0.3260165568
288	0.3246003615
289	0.3231832315
290	0.3223043743
291	0.3215080739
292	0.320995706
293	0.3196727187
294	0.319260121
295	0.3188007633
296	0.3179850535
297	0.3172700229
298	0.3165350693
299	0.3155343195
300	0.3150494499
301	0.3142261161
302	0.3138497955
303	0.3130005246
304	0.3116780285
305	0.3109039899
306	0.3104625629
307	0.3094126191
308	0.3079928617
309	0.3068535043
310	0.305488092
311	0.3048341233
312	0.3045174262
313	0.304165437
314	0.303128264
315	0.3013797432
316	0.3010435057
317	0.3005542004
318	0.2996186444
319	0.2983722147
320	0.2974644405
321	0.2970816526
322	0.2966455848
323	0.2962314264
324	0.2956245969
325	0.294690677
326	0.2941876174
327	0.293499484
328	0.2929275504
329	0.2925755944
330	0.2917504173
331	0.2914412165
332	0.2902827145
333	0.2899871415
334	0.2893147549
335	0.2886560699
336	0.2878826541
337	0.2875603657
338	0.2865882654
339	0.2856447461
340	0.2853653197
341	0.2850999562
342	0.2844947636
343	0.2836667428
344	0.2829221394
345	0.2821308699
346	0.2814273157
347	0.2811412073
348	0.2808452438
349	0.2804492878
350	0.2800757635
351	0.2796547046
352	0.2790931981
353	0.2785211156
354	0.2779234735
355	0.2772285291
356	0.2768368808
357	0.2759558126
358	0.2752901612
359	0.2749162132
360	0.2747292638
361	0.2744184404
362	0.2736447351
363	0.2733164009
364	0.273099499
365	0.2725039212
366	0.2721546794
367	0.271516438
368	0.2708193104
369	0.2700332388
370	0.2693961979
371	0.2684462403
372	0.2680367173
373	0.2675718785
374	0.2666092524
375	0.2660196392
376	0.2655855167
377	0.2651669509
378	0.2642789289
379	0.2634376501
380	0.2629504821
381	0.2626578659
382	0.2622718824
383	0.2617500808
384	0.2607923166
385	0.260410155
386	0.2596231401
387	0.2592425836
388	0.2584975699
389	0.2580092175
390	0.2571577084
391	0.2567096158
392	0.2563512914
393	0.2554746408
394	0.2546925525
395	0.2545113603
396	0.2541198185
397	0.2536309756
398	0.2531892436
399	0.2529009415
400	0.2524214338
401	0.2520514124
402	0.2517265166
403	0.2513235849
404	0.2506546237
405	0.250249596
406	0.249892611
407	0.2491179738
408	0.2489195583
409	0.248638526
410	0.2482200214
411	0.2479053143
412	0.2474419733
413	0.2470457611
414	0.2462684523
415	0.2460868074
416	0.2458065761
417	0.2456477498
418	0.2454571711
419	0.2449515127
420	0.2445830137
421	0.243860996
422	0.2435475926
423	0.2428300237
424	0.24236201
425	0.241913803
426	0.2415288444
427	0.2408753296
428	0.240500406
429	0.24020304
430	0.2400351851
431	0.239571489
432	0.2392446839
433	0.2390752894
434	0.2388024047
435	0.2382718543
436	0.2381922534
437	0.237830598
438	0.2375472241
439	0.2374010267
440	0.2370848751
441	0.2364165221
442	0.2361326305
443	0.2358637278
444	0.2353677075
445	0.2348214002
446	0.2346670194
447	0.2340318944
448	0.2335541247
449	0.2332083687
450	0.23283351
451	0.2323292255
452	0.2319268992
453	0.2316363706
454	0.2314831299
455	0.2311682758
456	0.2309360088
457	0.230667354
458	0.2302236124
459	0.2298956272
460	0.2296585727
461	0.2290363592
462	0.228458251
463	0.227978012
464	0.2278154304
465	0.2275215417
466	0.2272548227
467	0.2269291843
468	0.2266450796
469	0.2260486051
470	0.2257832082
471	0.2253531714
472	0.2249958139
473	0.2244663947
474	0.2241760029
475	0.2239456945
476	0.2233736307
477	0.222912567
478	0.2225805889
479	0.2223637095
480	0.2220317595
481	0.2217248656
482	0.2215969133
483	0.2213879537
484	0.2212404182
485	0.2207134081
486	0.2204110051
487	0.2202192892
488	0.2199996093
489	0.2197688025
490	0.2194795351
491	0.219154694
492	0.2188518456
493	0.2185807528
494	0.2183294037
495	0.2180000741
496	0.2178669512
497	0.2174779328
498	0.2173359722
499	0.217140976
500	0.216764191
501	0.2166595808
502	0.2163226178
503	0.2159687306
504	0.215731731
505	0.215414136
506	0.2152139338
507	0.2148942947
508	0.2147663264
509	0.2145201641
510	0.2142176466
511	0.2140364349
512	0.2137587502
513	0.2134664639
514	0.2133432155
515	0.2130968065
516	0.2126517552
517	0.2125165807
518	0.2122303169
519	0.2121367194
520	0.2119446303
521	0.2116693228
522	0.2112669322
523	0.2109049531
524	0.2105997685
525	0.2105351819
526	0.2101762833
527	0.2097247021
528	0.2092807374
529	0.2090642869
530	0.2089067869
531	0.2087890923
532	0.2086823868
533	0.2084571694
534	0.2083339306
535	0.2082683917
536	0.2080219438
537	0.2078025082
538	0.2075864026
539	0.2072436505
540	0.2069908438
541	0.206782194
542	0.2064270673
543	0.2063272032
544	0.2059626961
545	0.2055475153
546	0.2054351644
547	0.2052313342
548	0.2051554934
549	0.2047572559
550	0.2044366388
551	0.2041072947
552	0.2035874669
553	0.2033200103
554	0.2031804812
555	0.2028278584
556	0.202502514
557	0.2022885863
558	0.2018871476
559	0.201638583
560	0.2015451627
561	0.2011709253
562	0.2008103585
563	0.2004460162
564	0.2001645971
565	0.1999515613
566	0.1994703022
567	0.1992930399
568	0.1991456985
569	0.1988320152
570	0.1987636372
571	0.1985931643
572	0.1982590524
573	0.1978044354
574	0.1976646825
575	0.1973621816
576	0.1969485062
577	0.1968420501
578	0.1966257882
579	0.1964730805
580	0.196106793
581	0.1957194832
582	0.1956656037
583	0.1954988842
584	0.1952909568
585	0.1949017944
586	0.1948093816
587	0.1945448797
588	0.1943806786
589	0.1939909159
590	0.1937000034
591	0.1935347313
592	0.193231343
593	0.1928559238
594	0.1927776255
595	0.1926673413
596	0.1925181277
597	0.1923397141
598	0.1921043401
599	0.1917478628
600	0.1915198288
601	0.1913663918
602	0.1911963633
603	0.1910645658
604	0.1908466252
605	0.1905857962
606	0.1904543549
607	0.1900837972
608	0.1897980798
609	0.1895058874
610	0.1894350601
611	0.1892249784
612	0.1891430802
613	0.1889061018
614	0.1884864928
615	0.1881390329
616	0.1879633924
617	0.1877957851
618	0.1875595518
619	0.1874715981
620	0.1874314742
621	0.1873687739
622	0.1872618398
623	0.1868645964
624	0.186703587
625	0.1862169651
626	0.1859222846
627	0.1857163753
628	0.1854747519
629	0.1851797102
630	0.1849284437
631	0.1846080564
632	0.1841180991
633	0.1838885678
634	0.1837274929
635	0.183538307
636	0.1834214994
637	0.1832952391
638	0.1829167743
639	0.1828185163
640	0.1826252887
641	0.1824555122
642	0.182327028
643	0.1822197483
644	0.1818995682
645	0.1815714155
646	0.1814079667
647	0.1812120737
648	0.1808953836
649	0.1807033176
650	0.1803814913
651	0.1801485608
652	0.1798766923
653	0.17975052
654	0.1793873811
655	0.1791855572
656	0.1791342504
657	0.1789589231
658	0.1786787845
659	0.1785833979
660	0.1784192415
661	0.1783672605
662	0.1781913274
663	0.1780070861
664	0.1777367584
665	0.1775963854
666	0.1774110666
667	0.1770194454
668	0.176971084
669	0.1767834971
670	0.1766204015
671	0.1765588789
672	0.1764888276
673	0.1762140834
674	0.1760010121
675	0.1756470553
676	0.1755704266
677	0.1753569027
678	0.1752458898
679	0.175092216
680	0.17499049
681	0.1749094801
682	0.1746387484
683	0.1745967463
684	0.1745189195
685	0.174288056
686	0.1741753838
687	0.1739682306
688	0.1736812183
689	0.1736520004
690	0.1734459198
691	0.1732748607
692	0.1731826376
693	0.1730361664
694	0.1728963161
695	0.1726312453
696	0.1725064765
697	0.1723637971
698	0.1722321968
699	0.1720191137
700	0.1718168611
701	0.1715666659
702	0.1714016271
703	0.1711482051
704	0.1709678271
705	0.1709049102
706	0.1708534193
707	0.1707222925
708	0.1706375796
709	0.1705410758
710	0.1703422873
711	0.1702226575
712	0.1700330152
713	0.1699215075
714	0.1698360042
715	0.1696819483
716	0.1695770942
717	0.169433016
718	0.1692835504
719	0.1690169325
720	0.1688181527
721	0.1686842159
722	0.1685204806
723	0.1683775079
724	0.168227685
725	0.1681204264
726	0.1679214174
727	0.1675544154
728	0.1674757107
729	0.1671231103
730	0.166881871
731	0.1667714925
732	0.1666782094
733	0.1664244153
734	0.1661484122
735	0.1660343755
736	0.1658131646
737	0.1655628589
738	0.1654257672
739	0.1652784474
740	0.1652419998
741	0.1651157183
742	0.1650291006
743	0.1648858
744	0.1647406912
745	0.1645580116
746	0.1643161011
747	0.1640609376
748	0.1638540294
749	0.1636219231
750	0.1635393176
751	0.1634086725
752	0.1633110836
753	0.1630900027
754	0.1629508305
755	0.1628730924
756	0.1627316691
757	0.1626293168
758	0.1624301614
759	0.1623138802
760	0.162193345
761	0.1620531582
762	0.161850195
763	0.1616864953
764	0.1615632204
765	0.1615247296
766	0.1614083778
767	0.1611898322
768	0.1609594348
769	0.1608312611
770	0.1606839789
771	0.1605967678
772	0.1604300599
773	0.1602292549
774	0.1601405952
775	0.1600129603
776	0.1598804775
777	0.1596972869
778	0.1595544139
779	0.1594826352
780	0.1593672852
781	0.1592728147
782	0.1592171322
783	0.1591149594
784	0.158877073
785	0.1587585473
786	0.1586252484
787	0.1584905734
788	0.1584120345
789	0.1582042792
790	0.1580010606
791	0.157880037
792	0.1577198054
793	0.157531295
794	0.1574167228
795	0.1572912274
796	0.1572249142
797	0.1571195568
798	0.1570491644
799	0.1568566128
800	0.1565450086
801	0.1562499724
802	0.1561390743
803	0.1560038598
804	0.1557784169
805	0.1555941562
806	0.155529441
807	0.1554122234
808	0.1552993126
809	0.1549894502
810	0.1547111148
811	0.1545535312
812	0.1544559841
813	0.1543312615
814	0.1542149644
815	0.1539919707
816	0.1537993677
817	0.1536746112
818	0.1535693759
819	0.1534175755
820	0.1533106872
821	0.1531889587
822	0.1530892826
823	0.1530179597
824	0.1529197098
825	0.1528151825
826	0.1527863942
827	0.1526991805
828	0.1526102146
829	0.1525815954
830	0.1524144441
831	0.1522877307
832	0.1521633214
833	0.1518395191
834	0.151694991
835	0.151464359
836	0.151259474
837	0.1511091919
838	0.1510773452
839	0.150982244
840	0.1507709295
841	0.1504928685
842	0.1502907011
843	0.1502171792
844	0.1501123818
845	0.1499382226
846	0.1498120029
847	0.1496756877
848	0.1495315162
849	0.1494984513
850	0.1493494406
851	0.1492554337
852	0.1491978629
853	0.1490737018
854	0.148984308
855	0.1489001583
856	0.1487086262
857	0.1485762407
858	0.1484791567
859	0.1483905148
860	0.1483095293
861	0.1482266057
862	0.1481474081
863	0.1478304421
864	0.147668685
865	0.14756692
866	0.1474662676
867	0.1473491362
868	0.1472275554
869	0.1471414244
870	0.1469977823
871	0.1469619045
872	0.1468325629
873	0.146786638
874	0.1464996409
875	0.1463631373
876	0.1462930749
877	0.146184402
878	0.1460079016
879	0.1458222156
880	0.145731026
881	0.1456437654
882	0.145515307
883	0.1454609974
884	0.1453411573
885	0.1450899896
886	0.1450738022
887	0.1449575206
888	0.1448274334
889	0.1447457959
890	0.1446898259
891	0.1444751419
892	0.1443674795
893	0.1442927497
894	0.1441740879
895	0.1439661189
896	0.1438154498
897	0.1437418299
898	0.14367985
899	0.1435345883
900	0.1433033682
901	0.1431966793
902	0.1430708101
903	0.1429964333
904	0.1427919874
905	0.1427255188
906	0.1426543749
907	0.1425263029
908	0.1424231352
909	0.1422608426
910	0.1421292735
911	0.1420663444
912	0.1420022331
913	0.1418487705
914	0.1417990306
915	0.1416793047
916	0.1414891226
917	0.1413823054
918	0.1412914548
919	0.1412182974
920	0.1411657963
921	0.1410731861
922	0.1409749054
923	0.1408906377
924	0.1407873011
925	0.1406478545
926	0.1405480063
927	0.1404352719
928	0.1403648986
929	0.1402902869
930	0.1401301849
931	0.1399854685
932	0.1398802927
933	0.139843524
934	0.1397217114
935	0.139607971
936	0.1395344014
937	0.1394290509
938	0.1393936418
939	0.139201128
940	0.1390193167
941	0.1388348797
942	0.1387805222
943	0.138695792
944	0.1386590741
945	0.1384716213
946	0.1383976618
947	0.1383000935
948	0.1382467703
949	0.138170955
950	0.138020479
951	0.1378476567
952	0.1375956864
953	0.1375143805
954	0.137334374
955	0.1372153278
956	0.1370927433
957	0.1370355306
958	0.1369340352
959	0.136916424
960	0.1368048451
961	0.1367657401
962	0.1367063678
963	0.1365412066
964	0.136434338
965	0.1363282055
966	0.1362386595
967	0.1361462785
968	0.136071026
969	0.1359773366
970	0.1358863606
971	0.1357232133
972	0.1356304127
973	0.135504751
974	0.1354882544
975	0.1352428624
976	0.1351650886
977	0.1350430819
978	0.1349615895
979	0.1348980385
980	0.1348441026
981	0.1347541754
982	0.1346389435
983	0.1345454804
984	0.1344545003
985	0.1342768865
986	0.1341814887
987	0.134138675
988	0.1340519012
989	0.1340089128
990	0.1339273182
991	0.1338396874
992	0.1337195519
993	0.1336153874
994	0.1335037392
995	0.133402936
996	0.1333565896
997	0.1331637612
998	0.1330502669
999	0.1329616057
